timestamp,voltage_V,current_A,power_W,energy_kWh,frequency_Hz,power_factor,relay_state,rssi_dBm
2026-04-24T10:18:38.399Z,234.6,0.085,12,0.027,49.9,0.6,1,-70
2026-04-24T10:18:42.646Z,234.3,0.086,12,0.027,49.9,0.6,1,-71
2026-04-24T10:18:46.897Z,234.1,0.086,12,0.027,49.9,0.6,1,-74
2026-04-24T10:18:51.152Z,234.5,0.085,11.9,0.027,49.9,0.6,1,-71
2026-04-24T10:18:55.409Z,234.3,0.085,11.9,0.027,49.8,0.6,1,-70
2026-04-24T10:18:59.666Z,234.3,0.085,11.9,0.027,49.8,0.6,1,-70
2026-04-24T10:19:03.923Z,234.1,0.085,11.9,0.027,49.9,0.6,1,-70
2026-04-24T10:19:08.181Z,233.8,0.085,11.9,0.027,49.8,0.6,1,-72
2026-04-24T10:19:12.436Z,233.8,0.085,11.9,0.027,49.9,0.6,1,-71
2026-04-24T10:19:16.702Z,233.9,0.085,11.9,0.027,49.9,0.6,1,-70
2026-04-24T10:19:21.021Z,234,0.085,11.8,0.027,49.9,0.59,1,-65
2026-04-24T10:19:25.207Z,234.2,0.085,11.9,0.027,49.9,0.6,1,-70
2026-04-24T10:19:29.465Z,234.1,0.085,11.9,0.027,49.9,0.6,1,-70
2026-04-24T10:19:33.722Z,234.2,0.085,11.8,0.027,49.9,0.59,1,-68
2026-04-24T10:19:37.977Z,234,0.085,11.9,0.027,49.9,0.6,1,-65
2026-04-24T10:19:42.229Z,234.2,0.085,11.9,0.027,49.9,0.6,1,-65
2026-04-24T10:19:46.490Z,234.1,0.085,11.9,0.027,49.9,0.6,1,-70
2026-04-24T10:19:50.743Z,233.8,0.085,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:19:55.002Z,234.2,0.085,11.8,0.027,49.9,0.59,1,-63
2026-04-24T10:19:59.263Z,234,0.085,11.8,0.027,49.9,0.59,1,-65
2026-04-24T10:20:03.517Z,233.9,0.085,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:20:07.887Z,233.9,0.086,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:20:12.032Z,234,0.085,11.8,0.027,49.9,0.59,1,-68
2026-04-24T10:20:16.289Z,233.9,0.086,11.8,0.027,49.9,0.59,1,-64
2026-04-24T10:20:20.546Z,233.7,0.086,11.9,0.027,49.9,0.59,1,-64
2026-04-24T10:20:24.811Z,233.9,0.085,11.8,0.027,49.9,0.59,1,-70
2026-04-24T10:20:29.068Z,233.8,0.085,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:20:33.324Z,233.8,0.086,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:20:37.584Z,233.8,0.085,11.8,0.027,49.9,0.59,1,-63
2026-04-24T10:20:41.841Z,233.7,0.085,11.7,0.027,49.9,0.59,1,-66
2026-04-24T10:20:46.095Z,233.8,0.085,11.8,0.027,49.9,0.59,1,-70
2026-04-24T10:20:50.354Z,233.7,0.085,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:20:54.612Z,233.3,0.085,11.7,0.027,49.9,0.59,1,-66
2026-04-24T10:20:58.869Z,233.9,0.085,11.8,0.027,49.9,0.59,1,-63
2026-04-24T10:21:03.125Z,233.8,0.085,11.7,0.027,49.9,0.59,1,-64
2026-04-24T10:21:07.384Z,233.9,0.085,11.7,0.027,49.9,0.59,1,-65
2026-04-24T10:21:11.644Z,234,0.085,11.8,0.027,49.9,0.59,1,-69
2026-04-24T10:21:15.922Z,234,0.085,11.7,0.027,50,0.59,1,-68
2026-04-24T10:21:20.152Z,233.7,0.085,11.7,0.027,50,0.59,1,-66
2026-04-24T10:21:24.412Z,233.4,0.085,11.7,0.027,50,0.59,1,-70
2026-04-24T10:21:28.676Z,236.5,0.085,11.8,0.027,50,0.59,1,-70
2026-04-24T10:21:32.931Z,236.2,0.085,11.8,0.027,50,0.59,1,-71
2026-04-24T10:21:37.192Z,236.2,0.085,11.8,0.027,50,0.59,1,-67
2026-04-24T10:21:41.445Z,236.3,0.085,11.7,0.028,50,0.58,1,-66
2026-04-24T10:21:45.710Z,236.3,0.085,11.8,0.028,50,0.59,1,-70
2026-04-24T10:21:49.959Z,236.3,0.085,11.7,0.028,50,0.58,1,-70
2026-04-24T10:21:54.222Z,236.3,0.085,11.7,0.028,50,0.58,1,-67
2026-04-24T10:21:58.475Z,236.1,0.085,11.7,0.028,50,0.58,1,-66
2026-04-24T10:22:02.728Z,236,0.085,11.7,0.028,49.9,0.58,1,-65
2026-04-24T10:22:06.987Z,236.1,0.085,11.7,0.028,49.9,0.58,1,-72
2026-04-24T10:22:11.245Z,236.2,0.085,11.8,0.028,49.9,0.59,1,-69
2026-04-24T10:22:15.502Z,236.2,0.085,11.7,0.028,49.9,0.58,1,-66
2026-04-24T10:22:19.760Z,236.2,0.084,11.7,0.028,50,0.59,1,-66
2026-04-24T10:22:24.124Z,236,0.084,11.7,0.028,50,0.59,1,-70
2026-04-24T10:22:28.275Z,235.6,0.085,11.7,0.028,49.9,0.58,1,-68
2026-04-24T10:22:32.524Z,236,0.085,11.7,0.028,49.9,0.58,1,-69
2026-04-24T10:22:36.780Z,236,0.084,11.7,0.028,49.9,0.59,1,-67
