timestamp,voltage_V,current_A,power_W,energy_kWh,frequency_Hz,power_factor,relay_state,rssi_dBm
2026-04-24T10:25:11.620Z,236.3,0.084,11.6,0.028,50,0.58,1,-73
2026-04-24T10:25:14.307Z,235.9,0.084,11.7,0.028,50,0.59,1,-68
2026-04-24T10:25:18.556Z,235.9,0.086,12.3,0.028,50,0.61,1,-66
2026-04-24T10:25:22.815Z,235.9,0.089,12.8,0.028,50,0.61,1,-74
2026-04-24T10:25:27.075Z,236,0.089,12.8,0.028,50,0.61,1,-74
2026-04-24T10:25:31.329Z,235.9,0.089,12.8,0.028,50,0.61,1,-70
2026-04-24T10:25:35.585Z,235.8,0.089,12.8,0.028,50,0.61,1,-63
2026-04-24T10:25:39.843Z,235.8,0.089,12.8,0.028,49.9,0.61,1,-64
2026-04-24T10:25:44.101Z,235.7,0.09,12.8,0.028,49.9,0.6,1,-70
2026-04-24T10:25:48.357Z,236,0.09,12.8,0.028,49.9,0.6,1,-69
2026-04-24T10:25:52.608Z,236,0.09,12.8,0.028,49.9,0.6,1,-64
2026-04-24T10:25:56.859Z,235.9,0.089,12.8,0.028,49.9,0.61,1,-66
2026-04-24T10:26:01.120Z,236,0.089,12.8,0.028,49.9,0.61,1,-72
2026-04-24T10:26:05.376Z,236.1,0.09,12.8,0.028,49.9,0.6,1,-75
2026-04-24T10:26:09.631Z,236,0.09,12.8,0.028,49.9,0.6,1,-69
2026-04-24T10:26:13.882Z,236.1,0.09,12.8,0.028,49.9,0.6,1,-64
2026-04-24T10:26:18.140Z,236,0.089,12.8,0.028,49.9,0.61,1,-66
2026-04-24T10:26:22.396Z,235.9,0.089,12.8,0.028,49.9,0.61,1,-71
2026-04-24T10:26:26.658Z,235.9,0.089,12.7,0.028,49.9,0.6,1,-71
2026-04-24T10:26:30.918Z,235.8,0.089,12.7,0.028,49.8,0.61,1,-65
2026-04-24T10:26:35.171Z,235.7,0.089,12.7,0.028,49.8,0.61,1,-66
2026-04-24T10:26:39.427Z,235.3,0.09,12.8,0.028,49.8,0.6,1,-65
2026-04-24T10:26:43.686Z,235.7,0.09,12.8,0.028,49.8,0.6,1,-70
2026-04-24T10:26:47.942Z,235.7,0.089,12.8,0.028,49.8,0.61,1,-71
2026-04-24T10:26:52.198Z,235.6,0.089,12.8,0.028,49.7,0.61,1,-66
2026-04-24T10:26:56.456Z,235.6,0.089,12.8,0.028,49.7,0.61,1,-66
2026-04-24T10:27:00.711Z,235.6,0.089,12.8,0.028,49.7,0.61,1,-70
2026-04-24T10:27:04.967Z,235.7,0.089,12.7,0.029,49.7,0.61,1,-72
2026-04-24T10:27:09.227Z,235.6,0.089,12.7,0.029,49.8,0.61,1,-72
2026-04-24T10:27:13.484Z,235.8,0.089,12.8,0.029,49.8,0.61,1,-64
2026-04-24T10:27:17.740Z,235.7,0.089,12.8,0.029,49.8,0.61,1,-64
2026-04-24T10:27:21.995Z,235.6,0.089,12.7,0.029,49.8,0.61,1,-70
2026-04-24T10:27:26.254Z,235.6,0.089,12.8,0.029,49.9,0.61,1,-72
2026-04-24T10:27:30.514Z,235.8,0.089,12.8,0.029,49.9,0.61,1,-65
2026-04-24T10:27:34.770Z,235.8,0.089,12.7,0.029,49.9,0.61,1,-67
2026-04-24T10:27:39.026Z,235.7,0.089,12.8,0.029,50,0.61,1,-68
2026-04-24T10:27:43.289Z,235.9,0.089,12.7,0.029,50,0.6,1,-71
2026-04-24T10:27:47.541Z,235.9,0.09,12.8,0.029,49.9,0.6,1,-70
